block,variable,symbol,source,N,mean,sd,median,min,max
S,Sovereign spread,s_it,0.01*bond_spreads,1272,.023602504,.043348245,.00747093,-.034057319,.34308717
G,Readiness performance,G_it,0.01*readiness100,1798,.49613231,.14254914,.4916839,.17934154,.80720198
B,Debt/GDP,B_it,0.01*debt_gdp,1712,.58609241,.34171125,.52219999,.039009999,2.6096399
X,Vulnerability performance,X_it,0.01*vulnerability100,1798,.38238248,.078261845,.36725634,.25103006,.58079988
Z,Real GDP,Z: lnrgdp,0.01*lnrgdp,1791,.079859942,.029036125,.076868214,.018946169,.16325228
Z,Real GDP growth,Z: growth,0.01*growth,1787,.034000766,.03574172,.035050001,-.14546999,.24624
Z,CPI inflation,Z: inflation_cpi,0.01*inflation_cpi,1791,.056774125,.10807887,.032309998,-.017680001,1.973
Z,Overall balance/GDP,Z: OB_gdp,0.01*OB_gdp,1697,-.004336759,.03368992,-.00495,-.29951999,.23448999
Z,International reserves,Z: reserves,0.01*reserves,1753,.055385292,.1284492,.018139979,1.3079210e-06,1.5270723
Z,Government effectiveness,Z: gee,0.01*gee,1550,.0063671297,.0090543609,.0067055896,-.013495939,.024696598
Z,Regulatory quality,Z: rqe,0.01*rqe,1550,.0063234079,.0084619615,.0072862268,-.012928177,.023085915
Z,Terms of trade,Z: tt,0.01*tt,1595,1.0060327,.18741965,.99375945,.31876099,2.7307551
