iso3,country_name,theta_mean,observations,rank,above_cutoff
MLT,Malta,-0.05493700073170678,14,1,False
LTU,Lithuania,-0.039879511256009824,21,2,False
SVK,Slovak Republic,-0.03437716648452201,16,3,False
NZL,New Zealand,-0.027956481182096645,23,4,False
ROU,Romania,-0.024633886416195277,17,5,False
IRL,Ireland,-0.019844736702502166,23,6,False
AUS,Australia,-0.015032919381991085,23,7,False
NAM,Namibia,-0.01384297110518006,10,8,False
NLD,Netherlands,-0.012779795376656532,23,9,False
SVN,Slovenia,-0.006989737153280699,17,10,False
DNK,Denmark,-0.005580816887769177,23,11,False
FIN,Finland,-0.005127434200852465,23,12,False
TUR,Turkey,-0.0009967650953064222,14,13,False
CZE,Czech Republic,0.0016101202587148653,23,14,False
BGD,Bangladesh,0.0016625345443505668,9,15,False
SWE,Sweden,0.0018206623205755392,23,16,False
CHE,Switzerland,0.002840269147504358,19,17,False
KAZ,Kazakhstan,0.005372979776270941,5,18,True
POL,Poland,0.006424299961301027,22,19,True
CHL,Chile,0.00815203388683956,17,20,True
MYS,Malaysia,0.008944929259769767,22,21,True
RUS,Russia,0.009983436730440139,21,22,True
NGA,Nigeria,0.012477777760628181,17,23,True
UGA,Uganda,0.012629808042944262,13,24,True
HRV,Croatia,0.013830739058627669,16,25,True
KEN,Kenya,0.013995257552890042,19,26,True
THA,Thailand,0.015663797314999253,22,27,True
ZAF,South Africa,0.017948144008364985,23,28,True
CYP,Cyprus,0.0183322456775789,8,29,True
MUS,Mauritius,0.018656269987807984,7,30,True
NOR,Norway,0.01966712864983877,23,31,True
SRB,Serbia,0.020184905388664,6,32,True
MAR,Morocco,0.03201247900797002,12,33,True
PHL,Philippines,0.03373788364862342,23,34,True
AUT,Austria,0.03532404712681303,23,35,True
MEX,Mexico,0.03718301980239883,18,36,True
KOR,Korea,0.03764119438175366,23,37,True
ISR,Israel,0.04262016701330928,22,38,True
DEU,Germany,0.04392413558600539,23,39,True
CHN,China,0.048847553317295615,22,40,True
GBR,United Kingdom,0.05135292568152982,23,41,True
IDN,Indonesia,0.05543746456780096,21,42,True
COL,Colombia,0.06399767839693206,21,43,True
VNM,Vietnam,0.06502560547762859,17,44,True
ZMB,Zambia,0.07130502430504486,12,45,True
ESP,Spain,0.08204010318928563,23,46,True
PAK,Pakistan,0.08430295130067762,15,47,True
BRA,Brazil,0.08670767474764551,17,48,True
HUN,Hungary,0.09685803543510942,21,49,True
CAN,Canada,0.09964602443106498,23,50,True
FRA,France,0.10976102336047339,23,51,True
BEL,Belgium,0.1155617276271796,23,52,True
IND,India,0.12230324630394342,24,53,True
PRT,Portugal,0.13506170451112987,23,54,True
ISL,Iceland,0.143316310614719,18,55,True
EGY,Egypt,0.14431468885349652,14,56,True
LKA,Sri Lanka,0.15943065276904037,10,57,True
ITA,Italy,0.2531419113110239,23,58,True
GRC,Greece,0.4055874458118005,23,59,True
JPN,Japan,0.9643728355099623,18,60,True
